year_month,sea level corrected adjusted,chlorophylle,sst_anomaly_filtered,CO2,salinité,greenland_mass,antarctica_mass
1982-01-01,,,,,,,
1982-02-01,,,,,,,
1982-03-01,,,,,,,
1982-04-01,,,,,,,
1982-05-01,,,,,,,
1982-06-01,,,,,,,
1982-07-01,,,,,,,
1982-08-01,,,,,,,
1982-09-01,,,,,,,
1982-10-01,,,,,,,
1982-11-01,,,,,,,
1982-12-01,,,,,,,
1983-01-01,,,-0.99098366,,,,
1983-02-01,,,-1.0156205,,,,
1983-03-01,,,-1.0341288,,,,
1983-04-01,,,-1.0424277,,,,
1983-05-01,,,-1.0594907,,,,
1983-06-01,,,-1.1118072,,,,
1983-07-01,,,-1.1778748,,,,
1983-08-01,,,-1.2231166,,,,
1983-09-01,,,-1.2572497,,,,
1983-10-01,,,-1.2913964,,,,
1983-11-01,,,-1.3072218,,,,
1983-12-01,,,-1.2856736,,,,
1984-01-01,,,-1.2541541,,,,
1984-02-01,,,-1.2245597,,,,
1984-03-01,,,-1.1958174,,,,
1984-04-01,,,-1.175391,,,,
1984-05-01,,,-1.1677396,,,,
1984-06-01,,,-1.1532793,,,,
1984-07-01,,,-1.1430491,,,,
1984-08-01,,,-1.1403985,,,,
1984-09-01,,,-1.1233208,,,,
1984-10-01,,,-1.1025554,,,,
1984-11-01,,,-1.0848985,,,,
1984-12-01,,,-1.0652864,,,,
1985-01-01,,,-1.0395648,,,,
1985-02-01,,,-1.0192568,,,,
1985-03-01,,,-1.0008935,,,,
1985-04-01,,,-0.97993964,,,,
1985-05-01,,,-0.93244326,,,,
1985-06-01,,,-0.86758834,,,,
1985-07-01,,,-0.81968784,,,,
1985-08-01,,,-0.7688557,,,,
1985-09-01,,,-0.7076791,,,,
1985-10-01,,,-0.65383804,,,,
1985-11-01,,,-0.63139755,,,,
1985-12-01,,,-0.63504046,,,,
1986-01-01,,,-0.6435652,,,,
1986-02-01,,,-0.65686744,,,,
1986-03-01,,,-0.6696043,,,,
1986-04-01,,,-0.6845093,,,,
1986-05-01,,,-0.71239173,,,,
1986-06-01,,,-0.7549666,,,,
1986-07-01,,,-0.77939254,,,,
1986-08-01,,,-0.78036654,,,,
1986-09-01,,,-0.7617724,,,,
1986-10-01,,,-0.73569083,,,,
1986-11-01,,,-0.73035103,,,,
1986-12-01,,,-0.7381006,,,,
1987-01-01,,,-0.74103296,,,,
1987-02-01,,,-0.7281713,,,,
1987-03-01,,,-0.717973,,,,
1987-04-01,,,-0.7162138,,,,
1987-05-01,,,-0.7207686,,,,
1987-06-01,,,-0.7294781,,,,
1987-07-01,,,-0.7195513,,,,
1987-08-01,,,-0.6996757,,,,
1987-09-01,,,-0.70263845,,,,
1987-10-01,,,-0.7216711,,,,
1987-11-01,,,-0.73370403,,,,
1987-12-01,,,-0.7501472,,,,
1988-01-01,,,-0.7591819,,,,
1988-02-01,,,-0.75306326,,,,
1988-03-01,,,-0.7403202,,,,
1988-04-01,,,-0.7099248,,,,
1988-05-01,,,-0.66499174,,,,
1988-06-01,,,-0.6290915,,,,
1988-07-01,,,-0.621072,,,,
1988-08-01,,,-0.6180948,,,,
1988-09-01,,,-0.6313651,,,,
1988-10-01,,,-0.6741816,,,,
1988-11-01,,,-0.69278055,,,,
1988-12-01,,,-0.67863226,,,,
1989-01-01,,,-0.6680515,,,,
1989-02-01,,,-0.66454244,,,,
1989-03-01,,,-0.6532406,,,,
1989-04-01,,,-0.63895255,,,,
1989-05-01,,,-0.618534,,,,
1989-06-01,,,-0.59953755,,,,
1989-07-01,,,-0.59992397,,,,
1989-08-01,,,-0.6146186,,,,
1989-09-01,,,-0.6244879,,,,
1989-10-01,,,-0.60746783,,,,
1989-11-01,,,-0.5688312,,,,
1989-12-01,,,-0.5258565,,,,
1990-01-01,,,-0.48622862,,,,
1990-02-01,,,-0.4584608,,,,
1990-03-01,,,-0.44474444,,,,
1990-04-01,,,-0.4479466,,,,
1990-05-01,,,-0.47966042,,,,
1990-06-01,,,-0.5141234,,,,
1990-07-01,,,-0.53140044,,,,
1990-08-01,,,-0.54050237,,,,
1990-09-01,,,-0.5324167,,,,
1990-10-01,,,-0.5015146,,,,
1990-11-01,,,-0.48643598,,,,
1990-12-01,,,-0.50681496,,,,
1991-01-01,,,-0.540909,,,,
1991-02-01,,,-0.5773135,,,,
1991-03-01,,,-0.61479944,,,,
1991-04-01,,,-0.6522616,,,,
1991-05-01,,,-0.6969487,,,,
1991-06-01,,,-0.7351374,,,,
1991-07-01,,,-0.7585332,,,,
1991-08-01,,,-0.75681096,,,,
1991-09-01,,,-0.7368524,,,,
1991-10-01,,,-0.7442781,,,,
1991-11-01,,,-0.7702345,,,,
1991-12-01,,,-0.7906902,,,,
1992-01-01,,,-0.81327003,,,,
1992-02-01,,,-0.8346134,,,,
1992-03-01,,,-0.85438186,,,,
1992-04-01,,,-0.86836535,,,,
1992-05-01,,,-0.8376227,,,,
1992-06-01,,,-0.77000004,,,,
1992-07-01,,,-0.72743905,,,,
1992-08-01,,,-0.71335,,,,
1992-09-01,,,-0.7115399,,,,
1992-10-01,,,-0.7226361,,,,
1992-11-01,,,-0.7199616,,,,
1992-12-01,,,-0.6937293,,,,
1993-01-01,-1.9917211774193548,,-0.6571095,,,,
1993-02-01,-0.9555542307142858,,-0.6290498,,,,
1993-03-01,0.3165272445280645,,-0.59777164,,,,
1993-04-01,1.54954417,,-0.56001514,,,,
1993-05-01,2.083285283870968,,-0.5268568,,,,
1993-06-01,1.8555350066666667,,-0.49317023,,,,
1993-07-01,1.6532283129032257,,-0.45216516,,,,
1993-08-01,1.9429423548387093,,-0.41645998,,,,
1993-09-01,2.319861883333333,,-0.38773978,,,,
1993-10-01,2.242018612903226,,-0.3515057,,,,
1993-11-01,1.7886251633333332,,-0.32642168,,,,
1993-12-01,1.3726301838709678,,-0.31601796,,,,
1994-01-01,1.1712367580645162,,-0.3123637,,,,
1994-02-01,1.152731692857143,,-0.30234522,,,,
1994-03-01,1.3355997161290325,,-0.2768632,,,,
1994-04-01,1.7514926333333334,,-0.25798893,,,,
1994-05-01,2.172367274193548,,-0.25949436,,,,
1994-06-01,2.215872553333333,,-0.26971132,,,,
1994-07-01,1.9166400677419355,,-0.2558065,,,,
1994-08-01,1.737862370967742,,-0.22499338,,,,
1994-09-01,1.8487728966666663,,-0.2173526,,,,
1994-10-01,2.044964235483871,,-0.22250254,,,,
1994-11-01,2.1730231033333336,,-0.23684995,,,,
1994-12-01,2.231730529032258,,-0.26141742,,,,
1995-01-01,2.097922803225807,,-0.2743496,,,,
1995-02-01,1.6604427249999998,,-0.27263027,,,,
1995-03-01,1.1427696074193547,,-0.28347465,,,,
1995-04-01,0.986073157,,-0.3053673,,,,
1995-05-01,1.4211065645161292,,-0.31481153,,,,
1995-06-01,2.09344176,,-0.30763575,,,,
1995-07-01,2.333919177419355,,-0.31885576,,,,
1995-08-01,1.8808414548387096,,-0.3591497,,,,
1995-09-01,1.4601525700000002,,-0.41107813,,,,
1995-10-01,2.187958329032258,,-0.4791817,,,,
1995-11-01,4.287329369999999,,-0.5352326,,,,
1995-12-01,6.614800819354838,,-0.55787253,,,,
1996-01-01,7.637807054838709,,-0.547491,,,,
1996-02-01,6.976854696551724,,-0.52705467,,,,
1996-03-01,5.483842216129032,,-0.5133426,,,,
1996-04-01,4.094911773333333,,-0.5074921,,,,
1996-05-01,3.088496651612904,,-0.49833345,,,,
1996-06-01,2.3240857966666666,,-0.47865885,,,,
1996-07-01,1.8404621870967743,,-0.48312166,,,,
1996-08-01,1.872796367741936,,-0.51224643,,,,
1996-09-01,2.6511088133333334,,-0.5241287,,,,
1996-10-01,4.266658706451612,,-0.51305276,,,,
1996-11-01,6.237456033333333,,-0.495062,,,,
1996-12-01,7.286822558064516,,-0.47905877,,,,
1997-01-01,6.276663,,-0.46920797,,,,
1997-02-01,3.861124578571428,,-0.45749494,,,,
1997-03-01,1.859179177419355,,-0.4369218,,,,
1997-04-01,1.59056522,,-0.41303438,,,,
1997-05-01,2.724056906451613,,-0.40244594,,,,
1997-06-01,3.618306146666667,,-0.3999368,,,,
1997-07-01,3.444320325806452,,-0.37936518,,,,
1997-08-01,2.986539158064516,,-0.3473614,,,,
1997-09-01,3.3836978066666665,0.053406797,-0.31379902,,,,
1997-10-01,4.740027725806451,0.056052394,-0.27215236,,,,
1997-11-01,6.0900958266666665,0.0778316,-0.2343736,,,,
1997-12-01,6.446326083870967,0.11560899,-0.22097145,,,,
1998-01-01,5.709399629032258,0.12050937,-0.2278221,,,,
1998-02-01,4.646826810714286,0.113974266,-0.24354497,,,,
1998-03-01,3.909810206451613,0.09945272,-0.2618871,,,,
1998-04-01,3.691788403333333,0.07292001,-0.26328465,,,,
1998-05-01,3.818340983870968,0.061651018,-0.24505337,,,,
1998-06-01,4.0475655900000005,0.04890375,-0.22775036,,,,
1998-07-01,4.275083874193548,0.043851405,-0.20813282,,,,
1998-08-01,4.453354461290322,0.04591523,-0.17510112,,,,
1998-09-01,4.462435753333334,0.044533223,-0.13209556,,,,
1998-10-01,4.034831877419355,0.05443832,-0.092181556,,,,
1998-11-01,3.1281556566666664,0.06553571,-0.059217285,,,,
1998-12-01,2.2678097225806453,0.11596314,-0.03863166,,,,
1999-01-01,2.191873796774193,0.1285174,-0.044240076,,,,
1999-02-01,3.050028303571428,0.121917725,-0.06273124,,,,
1999-03-01,4.157213938709678,0.11741349,-0.07994444,,,,
1999-04-01,4.606406023333333,0.07452423,-0.09164085,,,,
1999-05-01,4.179651909677419,0.059606448,-0.07642375,,,,
1999-06-01,3.61044368,0.05300641,-0.049104095,,,,
1999-07-01,3.5956754322580644,0.050302986,-0.047181763,,,,
1999-08-01,3.993985803225807,0.04730195,-0.069160424,,,,
1999-09-01,4.047904636666667,0.04868165,-0.08365803,,,,
1999-10-01,3.3665277709677417,0.05338912,-0.08870528,,,,
1999-11-01,2.340843503333333,0.08253831,-0.09087041,,,,
1999-12-01,1.797948306451613,0.1136137,-0.07110007,,,,
2000-01-01,2.44319394516129,0.13225316,-0.050087187,,,,
2000-02-01,4.056595355172414,0.123989895,-0.0362889,,,,
2000-03-01,5.617260883870968,0.10755994,-0.012858881,,,,
2000-04-01,5.994427446666666,0.0822113,0.007984687,,,,
2000-05-01,4.8908736,0.05970958,-0.0019668627,,,,
2000-06-01,3.17555488,0.049402244,-0.034776434,,,,
2000-07-01,1.8397442193548388,0.044724926,-0.057433765,,,,
2000-08-01,1.2752921483870967,0.047696587,-0.068158925,,,,
2000-09-01,1.5422601066666668,0.04737789,-0.08910227,,,,
2000-10-01,2.688621622580645,0.059663903,-0.102142215,,,,
2000-11-01,4.638805813333334,0.07404179,-0.10522514,,,,
2000-12-01,6.736365696774193,0.092500426,-0.1196557,,,,
2001-01-01,7.875325361290322,0.119775325,-0.12853488,,,,
2001-02-01,7.514099649999999,0.123583585,-0.12234905,,,,
2001-03-01,6.074163793548387,0.084399685,-0.102580085,,,,
2001-04-01,4.358067259999999,0.06457805,-0.086296365,,,,
2001-05-01,3.117620116129032,0.055868283,-0.09521047,,,,
2001-06-01,2.661385273333333,0.04633715,-0.1114467,,,,
2001-07-01,3.003020429032258,0.04563097,-0.10400407,,,,
2001-08-01,3.6953471387096775,0.044580996,-0.08936572,,,,
2001-09-01,3.81161415,0.045348987,-0.087636285,,,,
2001-10-01,2.844864051612903,0.04966025,-0.08340874,,,,
2001-11-01,1.3857247503333334,0.0751781,-0.078151494,,,,
2001-12-01,0.8021402003225806,0.11523552,-0.08268747,,,,
2002-01-01,1.902345029032258,0.11993101,-0.082504764,,,,
2002-02-01,3.8114041857142857,0.11917742,-0.08647181,,,,
2002-03-01,5.070233380645162,0.097392604,-0.11171662,,,,
2002-04-01,4.847435746666666,0.08215042,-0.14049593,,,0.0,0.0
2002-05-01,3.636647625806452,0.058099475,-0.1308959,,,63.95,0.47
2002-06-01,2.768631696666666,0.04796555,-0.06999115,,,,
2002-07-01,2.9861534064516126,0.047704667,0.001905346,,,,
2002-08-01,4.00311975483871,0.04622452,0.05718869,,,-215.57,-53.24
2002-09-01,5.112626043333334,0.04743124,0.08492411,,,-235.55,71.85
2002-10-01,5.957186303225806,0.0525415,0.07244028,,,-201.92,86.08
2002-11-01,6.361416433333333,0.070258714,0.051912062,,,-204.0,-48.1
2002-12-01,5.999447403225807,0.10207372,0.059526972,,,-182.74,-2.71
2003-01-01,4.677212525806452,0.12688911,0.07041251,,,-133.45,13.3
2003-02-01,2.966278482142857,0.12310367,0.0604955,,,-146.34,-150.21
2003-03-01,1.7164990129032258,0.10777639,0.034707014,,,-80.33,-111.19
2003-04-01,1.52486329,0.09036554,0.014354667,,,-35.26,12.38
2003-05-01,2.236956148387097,0.059454855,-0.009541936,,,-30.59,50.77
2003-06-01,3.0684922266666663,0.05343473,-0.042576794,,,,
2003-07-01,3.6244896967741935,0.047136955,-0.057924617,,,-205.52,-88.24
2003-08-01,4.07202119032258,0.046134155,-0.05510842,,,-342.11,-89.04
2003-09-01,4.488353356666667,0.04985385,-0.050828308,,,-384.83,-103.56
2003-10-01,4.713353596774193,0.05891715,-0.039949805,,,-381.6,-15.43
2003-11-01,4.7659501,0.07805288,-0.021243658,,,-382.66,-74.73
2003-12-01,4.859951706451613,0.1051792,-0.013619083,,,-344.78,-243.54
2004-01-01,5.136981112903226,0.14127356,-0.02127592,,,-367.2,-297.38
2004-02-01,5.458497675862069,0.14329201,-0.034995172,,,-372.04,-440.89
2004-03-01,5.4865195290322575,0.13883735,-0.045470845,,,-352.48,-294.49
2004-04-01,5.016014636666667,0.08857714,-0.051931713,,,-293.52,-362.19
2004-05-01,4.27378990967742,0.06580769,-0.0683945,,,-312.53,-142.55
2004-06-01,3.755116996666666,0.051433634,-0.11033384,,,-329.17,-158.57
2004-07-01,3.844442141935484,0.049974747,-0.16071291,,,-426.31,-289.56
2004-08-01,4.507013106451613,0.045165826,-0.2177255,,,-548.97,-145.38
2004-09-01,5.0848141,0.048888918,-0.26025683,,,-589.65,-141.81
2004-10-01,4.7648025419354845,0.053299304,-0.27146873,,,-608.21,-59.69
2004-11-01,3.460498536666667,0.08187654,-0.2751451,,,-567.89,-205.96
2004-12-01,2.182899522580645,0.10519013,-0.2860423,,,-543.99,-285.07
2005-01-01,2.064302216129032,0.11929302,-0.2987397,,,-555.32,-358.41
2005-02-01,3.168806585714286,0.12298301,-0.3038871,,,-532.35,-418.44
2005-03-01,4.625039180645161,0.122342885,-0.30809775,,,-486.59,-364.71
